Cruise_ID,Station_ID,Haul_ID,Latitude,Longitude,SST_Sheet,Water_Depth,Tow_Depth,Date (UTC),Time (UTC),SST_CTD,,Latitude (DD),Longitude (DD)
2105,7.1.1,E01B,40.29.836,73.47.297,11.3,20,17,2021-05-12,7:32:54,,,40.71555556,73.86583333
2105,7.1,E01,40.29.794,73.47.362,15.6,21.95,16,2021-05-21,3:28:42,15.0351,,40.70388889,73.88388889
2105,7.2,E02,40.06.365,73.38.809,15.6,41,25,2021-05-21,7:04:23,14.8040,,40.20138889,73.85805556
2105,7.3,E03,39.42.767,73.30.041,14.611,41,25,2021-05-21,10:46:10,14.2670,,39.91305556,73.51138889
2105,7.4,E04,39.19.326,73.21.541,14.745,47.05,25,2021-05-21,14:39:50,14.4565,,39.40722222,73.50027778
2105,7.5,E05,38.55.728,73.12.859,14.3,74,25,2021-05-21,18:43:00,13.6243,,39.11888889,73.43861111
2105,7.6,E06,38.32.147,73.04.232,15.759,2000,25,2021-05-21,22:58:31,15.4740,,38.57416667,73.13111111
2105,6.6,E07,38.47.149,72.48.929,15.1,1371,25,2021-05-22,2:21:14,14.4639,,38.82472222,73.05805556
2105,6.5,E08,39.07.963,72.56.718,14.3,79.5,25,2021-05-22,6:16:45,13.6545,,39.38416667,73.13277778
2105,6.4,E09,39.28.713,73.03.978,15.2,65.95,25,2021-05-22,9:45:28,14.5634,,39.66472222,73.32166667
2105,6.3,E10,39.49.328,73.11.731,15.1,43.25,25,2021-05-22,13:29:37,14.3741,,39.90777778,73.38638889
2105,6.2,E11,40.10.119,73.19.394,18.4,39.4,25,2021-05-22,16:46:57,16.1515,,40.19972222,73.42611111
2105,6.1,E12,40.30.832,73.27.040,16.581,20,12,2021-05-22,20:05:52,16.0245,,40.73111111,73.46111111
2105,5.1,E13,40.34.774,73.07.642,16.4,25,22,2021-05-22,22:29:22,15.1064,,40.78166667,73.295
2105,5.2,E14,40.16.080,73.00.728,15.9,41,25,2021-05-23,1:24:23,15.2156,,40.28888889,73.20222222
2105,5.3,E15,39.57.332,72.54.026,15.8,50,25,2021-05-23,4:29:19,15.0144,,40.04222222,72.90722222
2105,5.4,E16,39.38.577,72.46.880,15.6,66.88,25,2021-05-23,7:39:07,14.8205,,39.79361111,73.01111111
2105,5.5,E17,39.19.785,72.40.022,14.6,113.6,25,2021-05-23,10:32:36,13.9058,,39.53472222,72.67277778
2105,5.6,E18,39.01.387,72.33.299,15.6,1290,25,2021-05-23,13:52:19,14.9306,,39.12416667,72.63305556
2105,4.6,E19,39.14.406,72.17.433,16.333,525,25,2021-05-23,18:38:50,16.0162,,39.34611111,72.40361111
2105,4.5,E20,39.31.557,72.23.615,15.3,1088,25,2021-05-23,22:12:29,14.2564,,39.67138889,72.55416667
2105,4.4,E21,39.48.675,72.29.979,15.867,65.46,25,2021-05-24,1:26:40,15.4786,,39.9875,72.75527778
2105,4.3,E22,40.05.861,72.36.442,15.8,54.37,25,2021-05-24,4:27:44,15.3947,,40.3225,72.72277778
2105,4.2,E23,40.23.144,72.42.957,16,45.36,25,2021-05-24,7:24:21,15.2872,,40.42333333,72.96583333
2105,4.1,E24,40.40.360,72.49.377,14.956,26.21,23,2021-05-24,10:14:29,14.5083,,40.76666667,72.92138889
2105,3.1,E25,40.45.127,72.30.317,14.873,27.13,23,2021-05-24,13:03:51,14.5136,,40.78527778,72.58805556
2105,3.2,E26,40.25.853,72.23.139,15.12,50.38,25,2021-05-24,16:06:28,14.7998,,40.65361111,72.42194444
2105,3.3,E27,40.06.583,72.16.081,14.548,67.13,25,2021-05-24,19:23:34,14.1989,,40.26194444,72.28916667
2105,3.4,E28,39.47.159,72.08.865,13.8,93,25,2021-05-24,22:39:48,13.1620,,39.8275,72.37361111
2105,3.5,E29,39.27.890,72.01.800,16.2,911,25,2021-05-25,2:22:08,15.5259,,39.69722222,72.23888889
2105,2.5,E30,39.41.607,71.45.929,12.6,562,25,2021-05-25,5:47:21,11.9690,,39.85194444,72.00805556
2105,2.4,E31,39.59.113,71.52.453,13.5,93,25,2021-05-25,8:56:25,12.8424,,40.01472222,71.9925
2105,2.3,E32,40.16.545,71.58.594,14.311,63.56,25,2021-05-25,12:01:11,13.9195,,40.41805556,72.13166667
2105,2.2,E33,40.34.090,72.05.282,14.864,51.51,25,2021-05-25,15:14:52,14.5756,,40.59166667,72.16166667
